Features,Labels,Encoded Labels
 db backup,0.0-1.0,Task1
create search control in silverlightwpf,4.0-7.0,Task5
  knowledgeconnect tender research,1.0-2.0,Task2
create wcf service prototype for getting data,10.0-23.0,Task7
scms  support  message loading,1.0-2.0,Task2
business link briefing on marketing strategy in a recession,4.0-7.0,Task5
business link briefing on marketing strategy in a recession,4.0-7.0,Task5
meeting with s,1.0-2.0,Task2
  pqq for staff rota system,10.0-23.0,Task7
backup tape change ,1.0-2.0,Task2
 system archive,4.0-7.0,Task5
staff meeting,2.0-3.0,Task3
staff meeting,2.0-3.0,Task3
staff meeting,2.0-3.0,Task3
staff meeting,2.0-3.0,Task3
staff meeting,2.0-3.0,Task3
staff meeting,2.0-3.0,Task3
flex website redesign,23.0-100.0,Task8
meeting with  ,2.0-3.0,Task3
change target framework to net  in project files,0.0-1.0,Task1
allow affiliate to cater for companyindividual specific fields,7.0-10.0,Task6
sip operational work  internal hardware  software,>100,Task9
sip operational work  internal hardware  software,>100,Task9
sip operational work  internal hardware  software,>100,Task9
sip operational work  internal hardware  software,>100,Task9
sip operational work  internal hardware  software,>100,Task9
scms  support  message loading,1.0-2.0,Task2
control processing missing and duplicating processing calls,4.0-7.0,Task5
moved location of printerhp laserjet ,0.0-1.0,Task1
admin tasks for may ,1.0-2.0,Task2
admin tasks for may ,1.0-2.0,Task2
sipticketingpro  repayment,23.0-100.0,Task8
sipticketingpro  repayment,23.0-100.0,Task8
extend tag wizard to show business object owned reference tables in lookups,3.0-4.0,Task4
meeting with  concerning game development,2.0-3.0,Task3
meeting with  concerning game development,2.0-3.0,Task3
meeting with  concerning game development,2.0-3.0,Task3
sort out tooltip functionality for code gen controls,4.0-7.0,Task5
telephone meeting with   business it solutions,0.0-1.0,Task1
wpf investigations,23.0-100.0,Task8
wpf investigations,23.0-100.0,Task8
scms client licence install and test,4.0-7.0,Task5
daily management tasks  june ,10.0-23.0,Task7
 project management tasks  june ,2.0-3.0,Task3
 revised client licencing work may ,4.0-7.0,Task5
clarity licence generation,1.0-2.0,Task2
backup tape change ,1.0-2.0,Task2
 close support,3.0-4.0,Task4
clarity inaccessible  investigate and resolve,7.0-10.0,Task6
clarity inaccessible  investigate and resolve,7.0-10.0,Task6
hook sipframeworklookuptextbox into code gen and tag manager,10.0-23.0,Task7
combos which use business object tables throwing exceptions,1.0-2.0,Task2
meeting at  for knowledge connect programme,1.0-2.0,Task2
 licence generation,0.0-1.0,Task1
preparing and attending the public procurement show  earls court,2.0-3.0,Task3
backup tape change ,1.0-2.0,Task2
 licence upload,0.0-1.0,Task1
microsoft certification training,>100,Task9
research on meet the buyer events in london,1.0-2.0,Task2
add ability to lookup business objects from sipframeworklookuptextbox,4.0-7.0,Task5
investigating policy patrol spam filter red earth software removal,0.0-1.0,Task1
thank you letter to   of ,1.0-2.0,Task2
get   supporting the microsoft partner programme,10.0-23.0,Task7
get   supporting the microsoft partner programme,10.0-23.0,Task7
personal mcp certificationwindows live id access setup,0.0-1.0,Task1
change wizard functionality so steps can be defined in seperate forms,23.0-100.0,Task8
administering windows server update services sipsql,7.0-10.0,Task6
s draft contract,0.0-1.0,Task1
provide mechanism for setting primary key on table saves in code,2.0-3.0,Task3
lloyds exchange it service providers trade fair,3.0-4.0,Task4
sipl firewall log analzer documentation frgpx firegen for pix log analyzer x,10.0-23.0,Task7
write a prototype socket layer data transfer mechanism for silverlight,10.0-23.0,Task7
sorting out server access issue,0.0-1.0,Task1
backup tape change ,1.0-2.0,Task2
sorting out menu history issues,0.0-1.0,Task1
meeting with  ,7.0-10.0,Task6
meeting with  ,7.0-10.0,Task6
meeting with  ,7.0-10.0,Task6
meeting with  ,7.0-10.0,Task6
meeting with  ,7.0-10.0,Task6
meeting with  ,7.0-10.0,Task6
lossdatefrom on claim  respond to s request on how we populated it,1.0-2.0,Task2
update staff object fields,0.0-1.0,Task1
add credit card table to affiliate and inherited objects,2.0-3.0,Task3
add logic to staff object to alter ui based on system option,0.0-1.0,Task1
flex marketing getting mailing list complete,2.0-3.0,Task3
 additional licence generation,0.0-1.0,Task1
 scms support    syndicate  licence,1.0-2.0,Task2
  the consultants event code issue    amended task spec re task plan,0.0-1.0,Task1
lloyds exchange it suppliers questionaire complete and send,3.0-4.0,Task4
further queries on lossdatefrom on claim and resolving usm reconciliation errors,0.0-1.0,Task1
business link courses in brentwood,10.0-23.0,Task7
business link courses in brentwood,10.0-23.0,Task7
sipl office operational support hours,4.0-7.0,Task5
backup tape change ,1.0-2.0,Task2
sip asset db work,23.0-100.0,Task8
allow staff and credit card lookups from entertainment event object,7.0-10.0,Task6
meeting   regarding knowledge connect project at erlang house,3.0-4.0,Task4
allow date format of mmyy in grid,4.0-7.0,Task5
validation errors disappear upon business object lookup,2.0-3.0,Task3
tidy up ticketing objects,2.0-3.0,Task3
allow staff lookups from ticketing repayment object,1.0-2.0,Task2
 additional licence generation    new machine,0.0-1.0,Task1
sip extranet local vb to net c conversion,4.0-7.0,Task5
sip extranet local vb to net c conversion,4.0-7.0,Task5
update  server licences ltdhq  ltdhq,2.0-3.0,Task3
write a windows service to serve data to our business objects,>100,Task9
write a windows service to serve data to our business objects,>100,Task9
 close support,0.0-1.0,Task1
backup tape change ,1.0-2.0,Task2
columns next to button columns throw exception when edited,0.0-1.0,Task1
checkin code june ,0.0-1.0,Task1
meeting with   contract discussion,1.0-2.0,Task2
 messages and close issues,1.0-2.0,Task2
modify task system to cope with name of people changes,0.0-1.0,Task1
install   scms licence,1.0-2.0,Task2
create product sheet for clarity,7.0-10.0,Task6
review server hardware firewall logs  generated from ciscopix router,2.0-3.0,Task3
daily management tasks  july ,10.0-23.0,Task7
setup scms user  ,2.0-3.0,Task3
stationery order,0.0-1.0,Task1
 project management tasks  july ,0.0-1.0,Task1
add readonly property to lookuptextbox control,0.0-1.0,Task1
add clear button to lookuptextbox control,2.0-3.0,Task3
flex website preparation and info gathering,3.0-4.0,Task4
backup tape change ,1.0-2.0,Task2
knowledge connect networking event at university of westminster from   ,3.0-4.0,Task4
collect contracts and copy of existing system from ,2.0-3.0,Task3
sipexc  vssbackup failure investigation,3.0-4.0,Task4
tsql script confirming constraints are valid,10.0-23.0,Task7
flex website design,>100,Task9
flex website design,>100,Task9
flex website design,>100,Task9
flex website design,>100,Task9
flex website design,>100,Task9
flex website design,>100,Task9
wpf windows presentation foundations  intro and connection metrics form development,23.0-100.0,Task8
wpf windows presentation foundations  intro and connection metrics form development,23.0-100.0,Task8
backup tape change ,1.0-2.0,Task2
grid colouring issue with multiple field accesses,0.0-1.0,Task1
design  build high level architecture for mobile phone pos system,4.0-7.0,Task5
create mobile phone pos customer business object,23.0-100.0,Task8
create mobile phone pos customer business object,23.0-100.0,Task8
organise latest windows updates  july ,3.0-4.0,Task4
 meeting  contract presentation,4.0-7.0,Task5
 meeting with ,0.0-1.0,Task1
data conversion from xbase for mobile phone pos system,>100,Task9
data conversion from xbase for mobile phone pos system,>100,Task9
data conversion from xbase for mobile phone pos system,>100,Task9
  sipoffice machine setup  email configuration,1.0-2.0,Task2
 meeting with ,0.0-1.0,Task1
create mobile phone pos sale business object,23.0-100.0,Task8
create mobile phone pos sale business object,23.0-100.0,Task8
create mobile phone pos handset business object,10.0-23.0,Task7
create mobile phone pos handset business object,10.0-23.0,Task7
backup tape change ,1.0-2.0,Task2
decommision scms synd    at  and renew synd   licences,2.0-3.0,Task3
general catch up ,4.0-7.0,Task5
madison documentation,7.0-10.0,Task6
 scms support   warehouse build issue    called for support,0.0-1.0,Task1
tab pages controls not showing when changing tabs,0.0-1.0,Task1
create mobile phone pos supplier business object,4.0-7.0,Task5
scms demo  preparation and demo to  ,0.0-1.0,Task1
create mobile phone pos tariff business object,3.0-4.0,Task4
create mobile phone pos tariff business object,3.0-4.0,Task4
 security pass return to   sipl monitor collection,1.0-2.0,Task2
preparing for mcts web exam,23.0-100.0,Task8
backup tape change ,1.0-2.0,Task2
add notes control as a splitter container control,0.0-1.0,Task1
create mobile phone pos additionals object,3.0-4.0,Task4
create mobile phone pos additionals object,3.0-4.0,Task4
madison demonstration,4.0-7.0,Task5
sip clarity licence generation,0.0-1.0,Task1
staff meeting,4.0-7.0,Task5
staff meeting,4.0-7.0,Task5
staff meeting,4.0-7.0,Task5
staff meeting,4.0-7.0,Task5
staff meeting,4.0-7.0,Task5
staff meeting,4.0-7.0,Task5
staff meeting,4.0-7.0,Task5
 scms support   ri super search issue,3.0-4.0,Task4
 scms support   ri super search issue,3.0-4.0,Task4
meeting with ,2.0-3.0,Task3
creating flex mail packages to potential clients,10.0-23.0,Task7
creating flex mail packages to potential clients,10.0-23.0,Task7
ccna study for exam part ,4.0-7.0,Task5
meeting with    contract and quotation,7.0-10.0,Task6
meeting with    contract and quotation,7.0-10.0,Task6
backup tape change ,1.0-2.0,Task2
convert flex menu from image based to css based,10.0-23.0,Task7
operational maintenance,4.0-7.0,Task5
operational maintenance,4.0-7.0,Task5
sip data service  metrics reporting program,23.0-100.0,Task8
 project management tasks  august ,0.0-1.0,Task1
daily management tasks  august ,23.0-100.0,Task8
define licence server database structure,7.0-10.0,Task6
 user   new scms licence pc crashed  replaced,1.0-2.0,Task2
 fisherman friend site development,10.0-23.0,Task7
fine tuning flex website,10.0-23.0,Task7
 period close assistance,2.0-3.0,Task3
backup tape change ,1.0-2.0,Task2
meeting with  ,3.0-4.0,Task4
meeting with  ,3.0-4.0,Task4
meeting with  ,3.0-4.0,Task4
meeting with  ,3.0-4.0,Task4
meeting with  ,3.0-4.0,Task4
  laptop updates  av licence renewal,1.0-2.0,Task2
mobile phone pos handover,23.0-100.0,Task8
mobile phone pos handover,23.0-100.0,Task8
check in code  august ,0.0-1.0,Task1
develop zone b control for ,23.0-100.0,Task8
develop zone b control for ,23.0-100.0,Task8
 support update to daily reports receipients list,0.0-1.0,Task1
test global licencing database and stored procedures,7.0-10.0,Task6
build licence server base project structure,4.0-7.0,Task5
sip website design and creation,23.0-100.0,Task8
create mobile phone pos accessory business object,4.0-7.0,Task5
write licence server,23.0-100.0,Task8
backup tape change ,0.0-1.0,Task1
testing windows  deployment with sip machine build,10.0-23.0,Task7
attending supplylondon workshop  winning new business,4.0-7.0,Task5
sip sql server  express install on sipxc,10.0-23.0,Task7
incorporate licence management into the dataserver,23.0-100.0,Task8
 menu and flag implementation,7.0-10.0,Task6
 test web site deployment,2.0-3.0,Task3
windows  servers  plan  execute upgrades to sipsql,23.0-100.0,Task8
sip asset db  tidy up update details of machines  software allocation,10.0-23.0,Task7
backup tape change ,1.0-2.0,Task2
create mobile phone pos insurance business object,2.0-3.0,Task3
 zone a content management,4.0-7.0,Task5
bni meeting  network marketing,23.0-100.0,Task8
zone c control development,23.0-100.0,Task8
write a prototype web site generator,>100,Task9
friday leaving drinks for  ,0.0-1.0,Task1
friday leaving drinks for  ,0.0-1.0,Task1
period close for   help  ,3.0-4.0,Task4
period close for   help  ,3.0-4.0,Task4
daily management tasks  september ,10.0-23.0,Task7
backup tape change ,1.0-2.0,Task2
demomeeting with  ,3.0-4.0,Task4
demomeeting with  ,3.0-4.0,Task4
business link course at    ,3.0-4.0,Task4
create mobile phone pos repair business object,2.0-3.0,Task3
 deliverable release,1.0-2.0,Task2
 licence upload,0.0-1.0,Task1
 general development tasks,>100,Task9
backup tape change ,1.0-2.0,Task2
meeting with  and ,1.0-2.0,Task2
helping   with css ,0.0-1.0,Task1
 meeting,0.0-1.0,Task1
aspnet learning,3.0-4.0,Task4
building demo application for  ,>100,Task9
building demo application for  ,>100,Task9
building demo application for  ,>100,Task9
setting up windows  virtual machine for server upgrade testing,10.0-23.0,Task7
create admin sitesetup section,23.0-100.0,Task8
    meetingdemo,10.0-23.0,Task7
    meetingdemo,10.0-23.0,Task7
microsoft exchange group policy settings,0.0-1.0,Task1
 webcontent management home page development,23.0-100.0,Task8
 administration section menu and navigation,3.0-4.0,Task4
backup tape change ,1.0-2.0,Task2
 data driven menu system,4.0-7.0,Task5
 zone b editor control,10.0-23.0,Task7
 upload control,2.0-3.0,Task3
visual source safe analyser run on sipdev to ensure data integrity,1.0-2.0,Task2
backup tape change ,1.0-2.0,Task2
 world page development,4.0-7.0,Task5
 installation  configuration of sql server express ,10.0-23.0,Task7
 installation  configuration of sql server express ,10.0-23.0,Task7
 fanzone development,10.0-23.0,Task7
 scms support   ,10.0-23.0,Task7
mobile phone pos  test system preparation and releasedemo,23.0-100.0,Task8
mobile phone pos  test system preparation and releasedemo,23.0-100.0,Task8
mobile phone pos  test system preparation and releasedemo,23.0-100.0,Task8
 history page development,23.0-100.0,Task8
backup tape change ,1.0-2.0,Task2
pos  tasks from meeting,23.0-100.0,Task8
daily management tasks  october ,10.0-23.0,Task7
 messages and close issues,0.0-1.0,Task1
 media page development,7.0-10.0,Task6
  meeting  understanding staff spreadsheet,2.0-3.0,Task3
backup tape change ,1.0-2.0,Task2
 download page development,7.0-10.0,Task6
attending supplylondon workshop  implementing a quality management system,4.0-7.0,Task5
meeting with   for requirementsunderstanding business,3.0-4.0,Task4
 your country page,10.0-23.0,Task7
 project management tasks  octobernovember ,2.0-3.0,Task3
backup tape change ,1.0-2.0,Task2
incorporate security into the dataserver,23.0-100.0,Task8
  meeting,4.0-7.0,Task5
 country administration,4.0-7.0,Task5
clarity fact sheet in pdf upload to web site,3.0-4.0,Task4
writing functional specification for   contract,2.0-3.0,Task3
 scms  and   licence uploads,1.0-2.0,Task2
 internal page updates,4.0-7.0,Task5
backup tape change ,1.0-2.0,Task2
 meetingdemo,4.0-7.0,Task5
removing sql  from machine and setting up sql server reporting ,1.0-2.0,Task2
 testing debugging and fixing,23.0-100.0,Task8
 user administration page development,4.0-7.0,Task5
 products,23.0-100.0,Task8
 data conversion proposal document,23.0-100.0,Task8
updating flex website with new image new text and clarity page,10.0-23.0,Task7
bni evening networking event at   west end pm,1.0-2.0,Task2
installing silverlight  on machine  going through tutorials  creating picture viewer,23.0-100.0,Task8
mobile phone pos  test system preparation and release,10.0-23.0,Task7
 audit  change mangement feature,23.0-100.0,Task8
 audit  change mangement feature,23.0-100.0,Task8
backup tape change ,1.0-2.0,Task2
pos  tasks from meeting   released ,>100,Task9
pos  release configuration merge to sipdev,1.0-2.0,Task2
investigating expression blend for building wpf data conversion front end,3.0-4.0,Task4
organising christmas party ,0.0-1.0,Task1
adding new sip scms onto website,0.0-1.0,Task1
training,1.0-2.0,Task2
daily management tasks  november ,23.0-100.0,Task8
  scms support  reports failing to load,1.0-2.0,Task2
backup tape change ,1.0-2.0,Task2
pos support  user setup instructions,0.0-1.0,Task1
lloyds exchange it service providers trade fair ,10.0-23.0,Task7
jamglobal demo and setting up,3.0-4.0,Task4
 competition and zone c ammendments,1.0-2.0,Task2
backup tape change ,1.0-2.0,Task2
meeting with   concerning  database system internal discussion,4.0-7.0,Task5
microsoft partner program  vat number issue,1.0-2.0,Task2
sip mail and data servers dns changes because of coreix servercity merger,4.0-7.0,Task5
link to vacancies site,0.0-1.0,Task1
 project administration and queries,10.0-23.0,Task7
 project administration and queries,10.0-23.0,Task7
backup tape change ,1.0-2.0,Task2
all sip servers   disk space checks  maintenance free up space housekeeping,3.0-4.0,Task4
replace product manager control with simple drop down list,1.0-2.0,Task2
verisign certificate for sipexc sip email  web server,4.0-7.0,Task5
remove grid and replace with drop down list on fanzone and download page,2.0-3.0,Task3
expandable zone b content,1.0-2.0,Task2
bni actions write flex summary for launch event,2.0-3.0,Task3
 scms  and   licence uploads,1.0-2.0,Task2
copy country,4.0-7.0,Task5
copy country,4.0-7.0,Task5
apply new ssl key in microsoft pxb format  pop mail and sip web server,2.0-3.0,Task3
backup tape change ,1.0-2.0,Task2
deployment of silverlight control to flex website,0.0-1.0,Task1
user manual,3.0-4.0,Task4
user manual,3.0-4.0,Task4
investigate sip metric monitor wpf front end  with charts  office ribbon,23.0-100.0,Task8
merging in changes to live database,2.0-3.0,Task3
improving our first silverlight component,23.0-100.0,Task8
adding new text to flex website  updated key staff component,2.0-3.0,Task3
cms aspnet research,4.0-7.0,Task5
sip servers  power failure,3.0-4.0,Task4
silver light,23.0-100.0,Task8
scms support issue with claim   on ,2.0-3.0,Task3
 period close support,1.0-2.0,Task2
backup tape change ,1.0-2.0,Task2
daily management tasks  december ,23.0-100.0,Task8
sip login component,23.0-100.0,Task8
sip login component,23.0-100.0,Task8
 meeting,2.0-3.0,Task3
reviewing the scrum project management process,2.0-3.0,Task3
 scms restore timing report,1.0-2.0,Task2
testing the  restore process,2.0-3.0,Task3
  scms support  reports failing to load,1.0-2.0,Task2
pos  tasks from meeting   released,>100,Task9
installing licence and data servers in office,3.0-4.0,Task4
installing licence and data servers in office,3.0-4.0,Task4
backup tape change ,1.0-2.0,Task2
attending supplylondon workshop  environmental management systems,3.0-4.0,Task4
adding   to flex website and silverlight component,3.0-4.0,Task4
going through emails and catching up after holiday,2.0-3.0,Task3
 support query on blank message,0.0-1.0,Task1
backup tape change ,1.0-2.0,Task2
bni meeting at new venue,3.0-4.0,Task4
research into  monitors,0.0-1.0,Task1
getting system ready for wkh meeting tomorrow just in case,1.0-2.0,Task2
backup tape change ,1.0-2.0,Task2
 meeting at letchworth,4.0-7.0,Task5
reviewing  web staff management solution,0.0-1.0,Task1
scms  support,0.0-1.0,Task1
 december invoicing,0.0-1.0,Task1
flag display order not working,0.0-1.0,Task1
daily management tasks  january ,23.0-100.0,Task8
adding a second user breaks the add user screen,0.0-1.0,Task1
 support  monthend close aid,0.0-1.0,Task1
scms  support,3.0-4.0,Task4
email catchup after christmas ,1.0-2.0,Task2
catchup and clean up,4.0-7.0,Task5
backup tape change ,1.0-2.0,Task2
 meeting,7.0-10.0,Task6
 meeting,7.0-10.0,Task6
adding sql data access in silverlight  going through tutorials,10.0-23.0,Task7
ehr stand alone prevalidation checker,23.0-100.0,Task8
 proposal phase ,7.0-10.0,Task6
microsoft partner program licencing research,0.0-1.0,Task1
learn expression design and creating new business cards for ,10.0-23.0,Task7
new hardware setup  software installations,23.0-100.0,Task8
setting up new laptop and backing up databases on current one,10.0-23.0,Task7
ehr software setup ,23.0-100.0,Task8
ehr software setup ,23.0-100.0,Task8
ehr software setup ,23.0-100.0,Task8
setting up laptop,10.0-23.0,Task7
backup tape change ,1.0-2.0,Task2
new laptop setup  switching over data,7.0-10.0,Task6
meeting with  at west end offices,10.0-23.0,Task7
meeting with  at west end offices,10.0-23.0,Task7
meeting with  at west end offices,10.0-23.0,Task7
meeting with  at west end offices,10.0-23.0,Task7
management meeting and catch up after meeting,2.0-3.0,Task3
management meeting and catch up after meeting,2.0-3.0,Task3
sip admin tasks,0.0-1.0,Task1
installing new sip  laptop,7.0-10.0,Task6
installing windows and software for old laptop for home use,3.0-4.0,Task4
extended lunch       leaving drinks,0.0-1.0,Task1
proposal  january     modifying the website to allow for redirection,7.0-10.0,Task6
backup tape change ,1.0-2.0,Task2
deploying silverlight component with wcf service attached,4.0-7.0,Task5
bni meeting for ,2.0-3.0,Task3
creating one page fact sheet for ,10.0-23.0,Task7
flag bar bug fix,0.0-1.0,Task1
web site generator front end,3.0-4.0,Task4
setting up new laptop with   application ready for demo on th jan,10.0-23.0,Task7
researching xml serialization,4.0-7.0,Task5
  loader program,2.0-3.0,Task3
meeting with  ,4.0-7.0,Task5
meeting with  ,4.0-7.0,Task5
meeting with  ,4.0-7.0,Task5
 management reports  ,10.0-23.0,Task7
ehr creation of new security groups in security manager per client,7.0-10.0,Task6
backup tape change ,1.0-2.0,Task2
changes to salary fields on ehr system to include deductions,10.0-23.0,Task7
changes to salary fields on ehr system to include deductions,10.0-23.0,Task7
developing tennis website to host and learn silverlight,23.0-100.0,Task8
meeting with   to show current system to their it department,2.0-3.0,Task3
 system messages access,1.0-2.0,Task2
bni meeting th jan ,2.0-3.0,Task3
website generator,4.0-7.0,Task5
dataconversion tool,23.0-100.0,Task8
dataconversion tool,23.0-100.0,Task8
sip management meeting,1.0-2.0,Task2
configuration of reporting services on sipdev,1.0-2.0,Task2
colour binding spike within wpf front end,3.0-4.0,Task4
set up on client view the company specific complex login required for when they go to self service ,2.0-3.0,Task3
staff amending holidays following booking,2.0-3.0,Task3
testing  developing   application ready for rollout,>100,Task9
testing  developing   application ready for rollout,>100,Task9
testing  developing   application ready for rollout,>100,Task9
prototype for xmlserialisation bucket,7.0-10.0,Task6
prototype for xmlserialisation bucket,7.0-10.0,Task6
backup tape change ,1.0-2.0,Task2
building sipweb with windows server   installing configuring dnn,10.0-23.0,Task7
bni meeting rd feb ,0.0-1.0,Task1
  warehouse build failed,0.0-1.0,Task1
daily management tasks  february ,7.0-10.0,Task6
investigate dotnetnuke content management system,23.0-100.0,Task8
pos  tasks from meeting   released,23.0-100.0,Task8
 support for  site,10.0-23.0,Task7
 contract meeting,2.0-3.0,Task3
backup tape change ,1.0-2.0,Task2
finding  contacts to send invites for bni launch,3.0-4.0,Task4
 meeting with xchanging s  lloyds messaging,23.0-100.0,Task8
bni meeting on th feb ,3.0-4.0,Task4
dotnetnuke  demolearning with  ,1.0-2.0,Task2
create sql server  script using xpcmdshell commands that deletes bak files,10.0-23.0,Task7
bni tasks generate  names print invites out,7.0-10.0,Task6
installing and learning dotnetnuke,1.0-2.0,Task2
ehr system analysis,10.0-23.0,Task7
backup tape change ,1.0-2.0,Task2
ehr contract signing,2.0-3.0,Task3
holiday requests using bank holidays,7.0-10.0,Task6
bni meeting th feb ,2.0-3.0,Task3
internal meeting about   with directors,0.0-1.0,Task1
 message meeting,3.0-4.0,Task4
 message meeting,3.0-4.0,Task4
pos  tasks from meeting   released,>100,Task9
pos  tasks from meeting   released,>100,Task9
pos  tasks from meeting   released,>100,Task9
ehr support feb  march ,10.0-23.0,Task7
  project managment tasks,10.0-23.0,Task7
bni meeting th feb ,2.0-3.0,Task3
dataconversiontool   transfer process  first pass,10.0-23.0,Task7
ehr reportsto role not allowing holiday authorisation,4.0-7.0,Task5
   holiday authorisation issues,10.0-23.0,Task7
   holiday authorisation issues,10.0-23.0,Task7
authorising person is returning the wrong records plus synchronising data,2.0-3.0,Task3
backup tape change ,1.0-2.0,Task2
holiday calculations not taking account of holbf absence entries,1.0-2.0,Task2
holiday request emails  duration set to ,4.0-7.0,Task5
meeting with   to show   head of adult nursing the system,2.0-3.0,Task3
 licences update,3.0-4.0,Task4
dataconversiontool   transfer process  script generation and execution,23.0-100.0,Task8
meeting with  to learn more about hr pro from coa,10.0-23.0,Task7
meeting with  to learn more about hr pro from coa,10.0-23.0,Task7
second authoriser emails not appearing,4.0-7.0,Task5
setting up a working pattern,0.0-1.0,Task1
automate checks to ensure the live ehr database is synchronised,23.0-100.0,Task8
invalid length authoriseremail  field to small,0.0-1.0,Task1
confirm  data on live is a   expects,3.0-4.0,Task4
daily management tasks  march ,10.0-23.0,Task7
backup tape change ,1.0-2.0,Task2
ehr client meetings,10.0-23.0,Task7
ehr client meetings,10.0-23.0,Task7
created routine to determine correct authoriser or reports to name,0.0-1.0,Task1
ehr  authorised by  report to issues  glasgow,1.0-2.0,Task2
test ehr loader with single user,3.0-4.0,Task4
dataconversiontool  rearchitecturing logging,2.0-3.0,Task3
ehr  ,23.0-100.0,Task8
ehr  ,23.0-100.0,Task8
unable to authorise holidays,0.0-1.0,Task1
forgotten login details on ehr for ,1.0-2.0,Task2
ehr client  ,23.0-100.0,Task8
ehr client  ,23.0-100.0,Task8
dataconversion tool  mapping screen,23.0-100.0,Task8
ehr client  ,>100,Task9
ehr client  ,>100,Task9
ehr analysing system permissions,10.0-23.0,Task7
ehr analysing system permissions,10.0-23.0,Task7
comparison scripts scms live and snapshot db analysis,4.0-7.0,Task5
backup tape change ,1.0-2.0,Task2
dataconversion tool  saving and loading mappings from xml file,7.0-10.0,Task6
bni meeting th   mar ,4.0-7.0,Task5
add silverlight component to dotnetnuke  hook into flex data layer,23.0-100.0,Task8
 zone b main image has a large gap after it,0.0-1.0,Task1
ehr client  ,10.0-23.0,Task7
ehr client  ,10.0-23.0,Task7
 ehr client  ,23.0-100.0,Task8
 ehr client  ,23.0-100.0,Task8
authorisers can cancel holiday requests,1.0-2.0,Task2
get sip data and licence server running under windows ,4.0-7.0,Task5
flex website improvements  moving to use dotnetnuke,>100,Task9
flex website improvements  moving to use dotnetnuke,>100,Task9
flex website improvements  moving to use dotnetnuke,>100,Task9
data conversion tool  map script generation,10.0-23.0,Task7
 licence upload and test,0.0-1.0,Task1
backup tape change ,1.0-2.0,Task2
 meeting,1.0-2.0,Task2
flex staff management database design,2.0-3.0,Task3
 demo,7.0-10.0,Task6
 demo,7.0-10.0,Task6
 demo,7.0-10.0,Task6
 meetingbusiess discussion,4.0-7.0,Task5
 meetingbusiess discussion,4.0-7.0,Task5
ehr logo changes,1.0-2.0,Task2
  fix character limit bug,0.0-1.0,Task1
dataconversion tool  integration and bug fixes,23.0-100.0,Task8
 office manager   cannot change employees region,0.0-1.0,Task1
backup tape change ,1.0-2.0,Task2
management meeting with directors,2.0-3.0,Task3
management meeting with directors,2.0-3.0,Task3
management meeting with directors,2.0-3.0,Task3
 bug fix  download button text,0.0-1.0,Task1
management meeting,3.0-4.0,Task4
investigating micrsoft forefront threat mg gateway  ,4.0-7.0,Task5
 throngmorten demo at  offices,2.0-3.0,Task3
bni meeting ,2.0-3.0,Task3
ehr database design,4.0-7.0,Task5
 developing mock ups of website application,7.0-10.0,Task6
ehr report deployment investigate issues,4.0-7.0,Task5
restricting some open ports vunerable potential threats to pix router,1.0-2.0,Task2
pos  tasks from meeting ,>100,Task9
backup tape change ,1.0-2.0,Task2
   creating proof of concept for student attendance recording,10.0-23.0,Task7
ecfr clientuser installation,10.0-23.0,Task7
ecfr clientuser installation,10.0-23.0,Task7
install kiwi free cattools  for router configuration monitoring,3.0-4.0,Task4
 management meeting,4.0-7.0,Task5
bni meeting  and  to  meeting with  ,4.0-7.0,Task5
  leaving drinks at ,3.0-4.0,Task4
  leaving drinks at ,3.0-4.0,Task4
  leaving drinks at ,3.0-4.0,Task4
  leaving drinks at ,3.0-4.0,Task4
  leaving drinks at ,3.0-4.0,Task4
create  banner graphics for new ehr silverlight,0.0-1.0,Task1
daily management tasks  aprilmayjune ,23.0-100.0,Task8
pos  feature list,0.0-1.0,Task1
backup tape change ,1.0-2.0,Task2
 public ip address change  acquisition firewall reconfiguration,10.0-23.0,Task7
ehr  glasgow employee   incorrect region setup,1.0-2.0,Task2
bni meeting on  and  with  ,4.0-7.0,Task5
ehr reporting suite,10.0-23.0,Task7
ehr reporting suite,10.0-23.0,Task7
create silverlight code generator for mapping the data to business layer,10.0-23.0,Task7
define staff entry screen layout,>100,Task9
holiday requested    days showing not  days,0.0-1.0,Task1
management meeting ,7.0-10.0,Task6
management meeting ,7.0-10.0,Task6
management meeting ,7.0-10.0,Task6
management meeting ,7.0-10.0,Task6
backup tape change ,1.0-2.0,Task2
  data migration for synd ,>100,Task9
  data migration for synd ,>100,Task9
bni meeting including  to  with   and power group meeting,4.0-7.0,Task5
 payroll meeting,1.0-2.0,Task2
 meeting,1.0-2.0,Task2
management meeting,0.0-1.0,Task1
meeting   re syndicate  networkadmin access setup,2.0-3.0,Task3
windows silverlight tech day ,4.0-7.0,Task5
data server required multi database capability,4.0-7.0,Task5
backup tape change ,1.0-2.0,Task2
grid sort preference failing,1.0-2.0,Task2
bni meeting ,3.0-4.0,Task4
setup secure virtual tunnel to   for sql serverreporting services dataports ,10.0-23.0,Task7
investigate rpc over https alternative to using pop and smtp for outlook mail ,0.0-1.0,Task1
syndicate   reporting services setup  ,10.0-23.0,Task7
backup tape change ,1.0-2.0,Task2
ehr tax code field access must be changed to read only,0.0-1.0,Task1
ehr remove  salary details in system,0.0-1.0,Task1
bni meeting  and meeting with bni members,4.0-7.0,Task5
